"","Percentage_positive"
"NUAK2",4.9
"CDK18",0.2
"ELK4",12.4
"NUCKS1",20.2
"RAB29",1.4
"SLC41A1",1.5
"AC119673.2",0.5
"RHEX",0.2
"SRGAP2",8.4
"IKBKE",0.7
"AC244034.2",0.1
"RASSF5",8.2
"EIF2D",3.8
"AL591846.2",0.1
"DYRK3",0.6
"MAPKAPK2",15.7
"IL10",0.2
"IL19",0.2
"IL24",0.4
"FCMR",18.2
"PIGR",3.6
"C1orf116",0
"PFKFB2",1.1
"YOD1",4.4
"C4BPB",0
"CD55",49.1
"CR2",1
"CR1",1.3
"CD46",16.1
"MIR29B2CHG",31.2
"CD34",0.1
"PLXNA2",0.2
"TRAF3IP3",6
"C1orf74",0.1
"UTP25",2.8
"HHAT",1.9
"RCOR3",7.4
"TRAF5",14.2
"LINC00467",1.8
"SLC30A1",1.3
"NEK2",0.1
"LPGAT1",17.1
"LPGAT1-AS1",0.1
"INTS7",0.6
"DTL",0.5
"PPP2R5A",6.9
"AL360091.2",0.5
"PACC1",0.9
"NENF",5.1
"AC092803.1",1.4
"AC092803.4",0.1
"ATF3",14.4
"FAM71A",0.1
"BATF3",0.1
"NSL1",3.8
"TATDN3",3.1
"FLVCR1-DT",0.8
"FLVCR1",1.8
"VASH2",0.3
"ANGEL2",8.3
"RPS6KC1",2.6
"PROX1-AS1",0.5
"PROX1",3.3
"AC011700.1",0.1
"SMYD2",2
"PTPN14",0.3
"CENPF",1.7
"KCTD3",0.6
"ESRRG",0
"GPATCH2",4.2
"RRP15",15.1
"TGFB2",0.7
"LYPLAL1-DT",0.1
"LYPLAL1",1.9
"ZC3H11B",1.1
"SLC30A10",0
"EPRS",3.6
"BPNT1",0.7
"IARS2",2.4
"RAB3GAP2",11.4
"MARK1",1.5
"HLX-AS1",0.1
"HLX",0.8
"DUSP10",19
"AL513314.2",1
"TAF1A",0.9
"TAF1A-AS1",0.1
"MIA3",11.9
"AIDA",5.4
"BROX",6.5
"FAM177B",7.2
"AL392172.2",0.5
"AL392172.1",1.1
"DISP1",0.7
"CAPN2",2.9
"TP53BP2",12.3
"AC138393.3",0.3
"FBXO28",3.6
"DEGS1",5.2
"NVL",2.6
"CNIH4",2.1
"WDR26",16.1
"DNAH14",0.2
"LBR",12.5
"ENAH",0.2
"SRP9",8.4
"EPHX1",0.2
"AL591895.1",1
"TMEM63A",3.9
"PYCR2",2
"SDE2",5.7
"AL512343.2",0.2
"H3F3A",71
"LINC01703",0.3
"ACBD3",11.9
"LIN9",0.5
"PARP1",10.1
"ITPKB",12
"ITPKB-IT1",1.3
"ITPKB-AS1",0.7
"PSEN2",0.2
"COQ8A",2
"CDC42BPA",0.2
"ZNF678",2.5
"SNAP47",1.8
"JMJD4",0.9
"WNT9A",0.1
"ARF1",22.9
"C1orf35",5.8
"MRPL55",3.5
"GUK1",18.6
"GJC2",0.1
"IBA57",10
"OBSCN",3.5
"AL353593.1",0.3
"TRIM11",4.9
"RNF187",2
"RHOU",0.1
"RAB4A",6.6
"AL117350.1",0.2
"CCSAP",5.4
"NUP133",3.5
"AL121990.1",0.1
"ABCB10",1.3
"TAF5L",4
"URB2",3.5
"GALNT2",15.7
"PGBD5",0.2
"COG2",3.2
"C1orf198",0.4
"TTC13",1.2
"C1orf131",3.7
"GNPAT",5.6
"EXOC8",2.4
"SPRTN",6.3
"EGLN1",2.8
"AL445524.1",0.3
"TSNAX",3.7
"DISC1",0.9
"SIPA1L2",0.2
"MAP10",0.2
"NTPCR",1.5
"PCNX2",3.1
"MAP3K21",0.9
"COA6-AS1",2.1
"COA6",1.7
"TARBP1",3.9
"IRF2BP2",31.9
"AL160408.2",0.6
"LINC01132",0.4
"AL391832.2",0.6
"AL391832.3",0.1
"AL732292.2",0.2
"TOMM20",22.4
"RBM34",9.2
"ARID4B",42.4
"GGPS1",0.9
"TBCE",2.2
"TBCE.1",0.6
"B3GALNT2",1.8
"LYST",6.8
"GPR137B",5
"ERO1B",15.5
"LGALS8",3
"LGALS8-AS1",0.1
"AL359921.2",0.2
"HEATR1",7.3
"MTR",6
"AC093426.1",0.1
"RGS7",0.5
"AL359764.2",0.1
"FH",1.3
"KMO",3.6
"OPN3",2.5
"CHML",9.3
"AL133390.1",0.1
"EXO1",0.2
"PLD5",1.3
"CEP170",10.9
"SDCCAG8",4.4
"AKT3",6.2
"AKT3-IT1",0.6
"ZBTB18",5.7
"ADSS",3.4
"DESI2",5.4
"AL451007.3",0.1
"AL451007.2",0.1
"BX323046.2",0.5
"COX20",10.4
"HNRNPU",61.3
"BX323046.1",0.6
"AL356512.1",1.9
"EFCAB2",8
"KIF26B",2.9
"SMYD3",2.8
"SMYD3-IT1",0.1
"TFB2M",2.5
"CNST",5.9
"AL591623.1",0.6
"SCCPDH",1.2
"AHCTF1",12.8
"ZNF695",0.1
"ZNF670",0.5
"ZNF669",7.4
"ZNF124",3.5
"AL390728.6",3.5
"AL390728.5",3.2
"ZNF496",2.4
"NLRP3",3.4
"TRIM58",0.3
"OR2L8",0
"OR2L5",0
"OR2L2",0.1
"OR2M3",0
"SH3BP5L",0.7
"ZNF672",2.4
"ZNF692",1.1
"PGBD2",0.4
"FAM110C",0.1
"SH3YL1",2
"ACP1",7.4
"ALKAL2",0.1
"TMEM18",5
"SNTG2-AS1",0
"PXDN",1
"MYT1L",0.3
"AC018685.3",0
"AC011995.2",0.1
"LINC01250",0.5
"AC019118.2",0.1
"EIPR1",1.6
"TRAPPC12",1.8
"ADI1",6.6
"AC231981.1",0.4
"AC108488.1",0.2
"RNASEH1",7.6
"RNASEH1-AS1",1.3
"AC108488.3",0.9
"RPS7",69.5
"LINC01304",0.2
"SOX11",36.1
"AC010729.2",0.1
"SILC1",2.9
"AC017053.1",0.1
"RNF144A",0.2
"LINC01814",0.2
"ID2",5.1
"KIDINS220",6.3
"MBOAT2",0.9
"ASAP2",0.3
"ITGB1BP1",3.3
"CPSF3",3.2
"IAH1",11
"ADAM17",25.1
"AC073195.1",1
"YWHAQ",20
"TAF1B",2.3
"AC010969.2",0.2
"GRHL1",0.4
"AC104794.3",0.7
"KLF11",6.2
"RRM2",0.5
"HPCAL1",8.1
"ODC1",46.5
"NOL10",5.1
"RN7SL832P",0.4
"ATP6V1C2",0.3
"PDIA6",10.7
"SLC66A3",1.3
"ROCK2",4.5
"E2F6",1.7
"GREB1",0.1
"LPIN1",12.8
"MIR3681HG",0.9
"TRIB2",3.3
"NBAS",5.6
"DDX1",8.1
"FAM49A",8.8
"SMC6",10
"GEN1",11.2
"RDH14",3.1
"LINC01376",0.2
"LINC00954",2.9
"TTC32",2.5
"AC013400.1",0.5
"WDR35",2
"LAPTM4A",12
"LAPTM4A-DT",0.1
"PUM2",14.5
"RHOB",27.5
"HS1BP3",0.9
"GDF7",2.5
"AC012065.4",0.2
"LDAH",0.8
"KLHL29",0.1
"AC009242.1",0.4
"ATAD2B",16.5
"UBXN2A",8.5
"SF3B6",10.2
"FAM228B",2.5
"TP53I3",0.5
"PFN4",0.2
"ITSN2",26
"NCOA1",8.3
"PTRHD1",6.1
"CENPO",0.5
"ADCY3",2.8
"DNAJC27",5.1
"DNAJC27-AS1",1.3
"DNMT3A",8.6
"AC012074.1",0.2
"DTNB",2
"ASXL2",3.1
"KIF3C",0.2
"RAB10",3.4
"HADHA",7.4
"HADHB",5
"ADGRF3",0.4
"SELENOI",2.1
"OTOF",0
"SLC35F6",1.4
"MAPRE3",0.1
"TMEM214",1.5
"AGBL5",0.8
"AC013472.3",0.1
"AC013403.2",0.2
"OST4",13.7
"PREB",0.5
"SLC5A6",1.9
"ATRAID",4.4
"CAD",1
"UCN",0.3
"MPV17",1.9
"GTF3C2",2.2
"AC074117.1",0.6
"EIF2B4",4.9
"SNX17",3.8
"ZNF513",0.7
"PPM1G",6.1
"NRBP1",8.1
"IFT172",0.7
"ZNF512",2.2
"CCDC121",0.1
"GPN1",3.1
"SUPT7L",3.3
"SLC4A1AP",3.9
"MRPL33",6.4
"RBKS",1
"BABAM2",3.2
"AC093690.1",2.2
"FOSL2",7.1
"AC104695.4",2
"PLB1",0.4
"AC092164.1",0.8
"PPP1CB",28.9
"SPDYA",1.4
"TRMT61B",2.7
"WDR43",18.1
"TOGARAM2",0.4
"CLIP4",0.6
"AC016907.2",0.3
"YPEL5",69.1
"LBH",7.5
"LCLAT1",1.7
"AL121652.1",0.2
"MEMO1",2.6
"DPY30",1.9
"SPAST",2.2
"AL121658.1",0.4
"SLC30A6",1.3
"YIPF4",8.5
"AL133245.1",0.7
"BIRC6",24.4
"AL133243.2",2
"AL133243.3",4.6
"AL133243.1",0.2
"TTC27",2.2
"LTBP1",1.2
"AC019127.1",0.1
"RASGRP3",2.5
"FAM98A",1.8
"AC017050.1",0.1
"LINC01320",0.5
"CRIM1-DT",0.3
"CRIM1",8.5
"FEZ2",5.3
"STRN",5.1
"HEATR5B",4.3
"GPATCH11",2
"EIF2AK2",15.7
"CEBPZOS",4.7
"CEBPZ",32.3
"AC007390.2",0.4
"NDUFAF7",2.7
"PRKD3",15.7
"QPCT",0.1
"CDC42EP3",8.2
"RMDN2",1
"ATL2",10
"GALM",1.3
"SRSF7",38.3
"GEMIN6",0.7
"DHX57",3.2
"MORN2",0.2
"SOS1",5.4
"MAP4K3",5.7
"AC007684.2",0.2
"MAP4K3-DT",1.8
"TMEM178A",0
"THUMPD2",6
"AC083949.1",0.2
"EML4",52.6
"COX7A2L",8.4
"MTA3",3.3
"LINC02580",0.1
"AC010883.3",0.9
"ZFP36L2",47.7
"LINC01126",0.7
"AC010883.1",0.4
"THADA",6.1
"PLEKHH2",0.2
"DYNC2LI1",1.1
"LRPPRC",13.1
"AC019129.2",0.3
"PPM1B",8
"SLC3A1",0.2
"PREPL",4.9
"CAMKMT",1.6
"SIX3",0
"SRBD1",3.4
"PRKCE",17.4
"EPAS1",0.1
"ATP6V1E2",3.6
"RHOQ",8.7
"PIGF",1.4
"CRIPT",8.9
"SOCS5",2.2
"MCFD2",2.6
"TTC7A",8.2
"AC073283.1",0.2
"CALM2",27.8
"EPCAM",0
"MSH2",1.1
"KCNK12",0.3
"MSH6",9.7
"FBXO11",15.8
"AC079807.1",0.5
"AC092650.1",0.4
"FOXN2",5.6
"AC093635.1",1.4
"PPP1R21",2.5
"STON1",0.5
"AC009975.2",0.4
"NRXN1",0
"ASB3",4.9
"ERLEC1",7.9
"PSME4",21.1
"ACYP2",4.7
"SPTBN1",22.2
"EML6",0.9
"RTN4",24.2
"CLHC1",0.7
"RPS27A",75.2
"MTIF2",2.9
"CCDC88A",20.7
"CFAP36",2
"PPP4R3B",14.5
"AC015982.2",0.5
"PNPT1",4.3
"AC132153.1",0.6
"VRK2",4.6
"AC068193.1",0.8
"FANCL",1.2
"LINC01122",0.1
"AC007381.1",0.5
"BCL11A",26.6
"PAPOLG",2.1
"REL",57.2
"PUS10",1
"PEX13",1.2
"KIAA1841",0.6
"AC016747.1",0.5
"C2orf74",0.9
"USP34",36.6
"AC016727.1",1.4
"XPO1",19.7
"AC016727.3",0.2
"FAM161A",0.8
"CCT4",15.3
"AC107081.2",0.7
"COMMD1",4.5
"B3GNT2",4.6
"EHBP1",2.4
"AC007098.1",0.2
"WDPCP",4.9
"MDH1",5.5
"UGP2",3.6
"VPS54",1.7
"AC012368.2",0.1
"PELI1",36
"AC012368.1",2.6
"LINC00309",0.7
"LGALSL-DT",0.5
"LGALSL",0.9
"AC008074.2",0.9
"AFTPH",14.8
"SERTAD2",10.7
"AC007365.1",0.4
"LINC01800",0.2
"LINC02245",3.6
"SLC1A4",3.3
"LINC02576",1.4
"CEP68",4.8
"RAB1A",9.9
"ACTR2",25
"SPRED2",0.9
"AC012370.1",0.2
"AC007389.1",0.1
"LINC01873",0.2
"MEIS1",0
"ETAA1",2.6
"C1D",7.3
"WDR92",0.7
"PNO1",10.6
"PPP3R1",5.7
"AC017083.1",0.9
"PLEK",4.4
"FBXO48",0.4
"APLF",1.1
"ARHGAP25",30.3
"LINC01888",0.2
"GFPT1",4
"NFU1",1.1
"AAK1",2.1
"ANXA4",0.3
"GMCL1",2.8
"SNRNP27",7
"MXD1",4.9
"ASPRV1",0.1
"PCBP1-AS1",10.1
"PCBP1",13.6
"LINC01816",0.4
"C2orf42",1.1
"TIA1",9.3
"PCYOX1",0.5
"SNRPG",15.6
"FAM136A",3.9
"ADD2",1.4
"ANKRD53",0.4
"TEX261",0.8
"NAGK",6.5
"AC007881.3",0.9
"MCEE",0.7
"MPHOSPH10",8.2
"PAIP2B",0.7
"ZNF638",14.8
"AC007878.1",1
"EXOC6B",3.7
"SFXN5",1.8
"RAB11FIP5",0.2
"SMYD5",2.5
"CCT7",5.6
"FBXO41",2.2
"EGR4",0.6
"ALMS1",4.9
"ALMS1-IT1",0.7
"AC074008.1",0.1
"TPRKB",2.8
"DUSP11",5
"STAMBP",2.6
"DGUOK",6.3
"AC073046.1",0.4
"TET3",6.4
"BOLA3",1.3
"BOLA3-AS1",0.2
"MOB1A",29.2
"AC073263.2",0.3
"MTHFD2",1.6
"SLC4A5",0.8
"DCTN1",4
"C2orf81",0.1
"AC005041.4",0.1
"WDR54",2.4
"RTKN",0.1
"INO80B",4.5
"WBP1",4.9
"MOGS",1
"AC005041.5",0.2
"MRPL53",1
"CCDC142",0.7
"TTC31",1.8
"PCGF1",0.9
"AUP1",8.3
"HTRA2",1.7
"DOK1",0.4
"SEMA4F",0.4
"AC019069.1",0.1
"HK2",1.3
"POLE4",6
"MRPL19",2.4
"GCFC2",2.5
"AC005034.6",0.4
"SUCLG1",2.6
"DNAH6",0.3
"TRABD2A",0.9
"TMSB10",66.8
"KCMF1",7.6
"TCF7L1",0.1
"TGOLN2",20.5
"RETSAT",0.4
"ELMOD3",1.7
"CAPG",4.9
"PARTICL",0.6
"MAT2A",9.1
"GGCX",3.5
"VAMP8",5
"VAMP5",1.3
"RNF181",3.2
"USP39",2.3
"C2orf68",2.2
"ATOH8",0.2
"ST3GAL5",23.7
"ST3GAL5-AS1",1.9
"POLR1A",2.9
"PTCD3",10.3
"IMMT",3.8
"AC009309.1",0.6
"MRPL35",0.5
"KDM3A",11.1
"CHMP3",6.6
"AC015971.1",0.2
"RNF103",10.2
"RMND5A",7.2
"LINC01943",0.2
"CYTOR",3.9
"PLGLB2",0.5
"RGPD2",5
"AC108479.3",0.3
"KRCC1",1.7
"THNSL2",0.5
"AC104134.1",0.1
"EIF2AK3",13.9
"EIF2AK3-DT",3.7
"RPIA",4.2
"IGKC",49.2
"IGKV2-30",0.1
"MRPS5",5.8
"ZNF514",1.2
"AC092835.1",0.2
"FAHD2A",1.3
"LINC00342",7.8
"ANKRD36C",16.9
"ADRA2B",0.8
"ASTL",0.7
"DUSP2",49.2
"STARD7",9.2
"STARD7-AS1",0.4
"TMEM127",4.1
"CIAO1",7.5
"SNRNP200",27
"AC021188.1",0.1
"NCAPH",0.2
"ARID5A",10
"KANSL3",5.1
"LMAN2L",0.2
"CNNM4",1.8
"CNNM3",2.4
"ANKRD39",1.6
"SEMA4C",0.2
"FAHD2B",0.4
"ANKRD36",15.6
"AC159540.2",1.6
"AC092683.1",8.7
"ANKRD36B",11
"COX5B",14
"ACTR1B",2.9
"C2orf92",2.5
"ZAP70",1.8
"TMEM131",15
"INPP4A",2.2
"COA5",2.7
"UNC50",2.2
"MGAT4A",2
"KIAA1211L",0.1
"TSGA10",2.2
"C2orf15",0.4
"LIPT1",1.6
"MITD1",2.9
"MRPL30",2
"LYG2",0.4
"LYG1",0.1
"TXNDC9",1.4
"EIF5B",28.9
"REV1",5.2
"AC018690.1",0.4
"AFF3",49.2
"AC092667.1",0.2
"LINC01104",0.2
"LONRF2",0.2
"CHST10",1.2
"PDCL3",6.2
"RPL31",46.6
"TBC1D8",0.5
"CNOT11",3.1
"RNF149",10.6
"CREG2",1.2
"MAP4K4",36.3
"IL18R1",0.5
"MFSD9",0.7
"TMEM182",0.4
"LINC01102",2.8
"POU3F3",0.4
"MRPS9",2.8
"TGFBRAP1",3
"AC012360.1",0.5
"AC012360.3",3.6
"C2orf49",7.8
"NCK2",10.5
"UXS1",2.4
"RGPD3",0
"RGPD4",0
"SULT1C2",0.1
"GCC2",21.4
"GCC2-AS1",0.2
"LIMS1",8.1
"RANBP2",31.6
"CCDC138",1.4
"RGPD5",32
"NPHP1",0.4
"MTLN",1.3
"RGPD6",0.1
"AC226101.1",0.1
"BUB1",0.7
"ACOXL",0.5
"MIR4435-2HG",1.2
"ACOXL-AS1",0.2
"BCL2L11",29.3
"ANAPC1",7.6
"MERTK",0.4
"TMEM87B",3.4
"FBLN7",0.5
"ZC3H8",6.2
"ZC3H6",3.4
"RGPD8",1.1
"TTL",5.1
"POLR1B",1.9
"CHCHD5",3.6
"SLC20A1",19.6
"CKAP2L",0.1
"PSD4",3.2
"PAX8-AS1",5.2
"CBWD2",3
"RABL2A",1.6
"SLC35F5",7.7
"AC110769.2",1.2
"ACTR3",27.7
"LINC01191",0.1
"DDX18",25.1
"AC009404.1",1.1
"CCDC93",9.5
"INSIG2",2.8
"C2orf76",0.9
"DBI",18
"TMEM177",0.3
"PTPN4",4.2
"EPB41L5",1.8
"TMEM185B",2.5
"RALB",1.6
"TFCP2L1",0.3
"CLASP1",5.8
"NIFK-AS1",1.3
"NIFK",7.8
"TSN",7.6
"GYPC",10.3
"BIN1",5.4
"ERCC3",4.9
"AC068282.1",0.5
"MAP3K2",32
"MAP3K2-DT",1.4
"IWS1",5.2
"MYO7B",0.6
"AC010976.2",0
"LIMS2",1.1
"WDR33",15.6
"SFT2D3",1.6
"POLR2D",4.7
"AMMECR1L",1.5
"AC012306.2",0.5
"SAP130",1.3
"UGGT1",4.7
"HS6ST1",1.2
"RAB6C",0.1
"SMPD4",11.2
"MZT2B",18.8
"CCDC115",3.2
"IMP4",6.2
"PTPN18",2.3
"AC133785.1",0.2
"ARHGEF4",1.4
"FAM168B",6.6
"PLEKHB2",9.4
"MZT2A",9.2
"CCDC74A",0.2
"C2orf27A",0.5
"ANKRD30BL",0.2
"MGAT5",21.2
"TMEM163",2.6
"CCNT2-AS1",0.5
"CCNT2",20.4
"RAB3GAP1",19.9
"ZRANB3",1.3
"R3HDM1",5.5
"UBXN4",31.6
"LCT",0.4
"MCM6",1.1
"DARS",7
"DARS-AS1",0.2
"CXCR4",57.7
"THSD7B",0.1
"AC114763.1",0.3
"SPOPL",8.8
"AC092620.1",1.4
"AC092620.2",0.1
"LINC02631",0.3
"KYNU",1.7
"ARHGAP15",14.8
"AC079793.1",0.4
"AC092652.3",1.6
"GTDC1",4
"ZEB2",32
"ZEB2-AS1",1.6
"AC018678.1",0
"ACVR2A",0.6
"ORC4",2.9
"MBD5",9.5
"EPC2",11.1
"KIF5C",1.4
"MMADHC",6.6
"AC007364.1",0.7
"RND3",0
"RBM43",2
"NMI",2.9
"TNFAIP6",0.5
"RIF1",17.5
"NEB",7.5
"ARL5A",15.1
"AC097448.1",1.7
"CACNB4",0.3
"STAM2",2.2
"FMNL2",0.8
"AC012066.2",0.1
"PRPF40A",26.6
"ARL6IP6",1.9
"AC073225.1",0.5
"LINC01876",0.4
"NR4A2",51.8
"GPD2",1.7
"GALNT5",0.5
"ERMN",5.9
"CYTIP",34.1
"ACVR1C",0.2
"ACVR1",0.4
"PKP4",0.2
"DAPL1",0.9
"WDSUB1",2.5
"BAZ2B",11.8
"AC009506.1",0.3
"AC009961.1",0.5
"MARCH7",10.4
"LY75",4.2
"PLA2R1",0.1
"RBMS1",12.2
"TANK",14.4
"AC009299.3",0.1
"LINC01806",0.1
"PSMD14",10.1
"IFIH1",6.3
"GCA",4.2
"GRB14",0
"COBLL1",19.5
"AC019197.1",0.5
"SCN3A",0.3
"SCN2A",0.8
"GALNT3",2.5
"TTC21B",7.2
"SCN9A",0.1
"STK39",2
"CERS6",1.4
"NOSTRIN",0.1
"SPC25",0.2
"ABCB11",0.2
"BBS5",0.1
"FASTKD1",0.9
"PPIG",19.4
"CCDC173",1.7
"PHOSPHO2",1.2
"KLHL23",0.5
"SSB",16.8
"METTL5",3.3
"UBR3",4.9
"GORASP2",6.8
"TLK1",24.4
"METTL8",5.9
"DCAF17",1.7
"DYNC1I2",11
"SLC25A12",1.9
"HAT1",6.8
"METAP1D",1.6
"ITGA6",0.2
"AC078883.1",0.5
"PDK1",6
"RAPGEF4",0
"MAP3K20",1.8
"CDCA7",1.4
"SP3",20.3
"OLA1",5.9
"CIR1",20.6
"SCRN3",0.4
"GPR155",1.9
"AC010894.2",0.1
"AC010894.3",0.3
"WIPF1",28.6
"CHRNA1",6.1
"CHN1",0.8
"ATF2",8
"ATP5MC3",10.4
"LNPK",1.8
"MTX2",1.1
"LINC01116",3.2
"AC079305.3",1.9
"HNRNPA3",53.1
"NFE2L2",19.8
"AC079305.1",2.2
"AC019080.1",0.1
"AC019080.5",0.1
"AGPS",2.3
"TTC30B",0.8
"TTC30A",0.6
"RBM45",0.6
"CHROMR",3.3
"PRKRA",8.9
"PJVK",0.6
"FKBP7",0.5
"PLEKHA3",10.3
"TTN-AS1",4.5
"TTN",11.1
"AC009948.2",0.3
"AC010680.3",0.2
"AC010680.2",0.1
"AC010680.4",0.2
"CCDC141",3.1
"SESTD1",1.3
"CWC22",4.3
"UBE2E3",11.5
"AC104076.1",0.1
"LINC01934",0.1
"ITGA4",7.8
"ITPRID2",4.1
"DNAJC10",17.7
"NCKAP1",0.1
"NUP35",2.5
"AC021851.1",0.2
"AC096667.1",0.7
"ZNF804A",12.4
"AC009315.1",0.1
"FSIP2-AS1",0.2
"FSIP2",0.5
"AC097500.1",0.3
"LINC01473",3
"AC017071.1",0.6
"ZC3H15",40.5
"ITGAV",2
"COL5A2",0.1
"WDR75",4.8
"ASNSD1",1.6
"ANKAR",3.7
"OSGEPL1",0.6
"OSGEPL1-AS1",0.3
"ORMDL1",11
"PMS1",1.9
"C2orf88",0.2
"HIBCH",3.4
"INPP1",0.5
"MFSD6",2.4
"NEMP2",1.3
"AC108047.1",0.4
"AC006460.2",0.5
"NAB1",1.6
"AC005540.1",0.2
"GLS",33.6
"STAT1",7.3
"STAT4",1.9
"NABP1",7.2
"AC098617.1",0
"AC096647.1",0.1
"LINC01821",0.7
"AC010983.1",1.3
"SLC39A10",15.5
"DNAH7",0.2
"STK17B",48.3
"AC114760.2",8.3
"HECW2",0.2
"CCDC150",0.6
"GTF3C3",4.8
"PGAP1",0.5
"ANKRD44",36.4
"AC013264.1",0.3
"ANKRD44-IT1",4.2
"SF3B1",38
"COQ10B",9.9
"HSPD1",20
"HSPE1",17
"MOB4",4.4
"MARS2",0.5
"PLCL1",0.1
"AC097717.1",0.6
"C2orf69",3.2
"TYW5",5.8
"MAIP1",2.4
"SPATS2L",1.9
"KCTD18",2.9
"SGO2",0.6
"BZW1",42.4
"CLK1",48.1
"PPIL3",2.9
"NIF3L1",0.7
"ORC2",2.8
"AC005037.1",1.3
"FAM126B",8.6
"CFLAR",13.8
"CASP10",1.4
"CASP8",13.1
"FLACC1",0.2
"TRAK2",1.4
"STRADB",0.6
"TMEM237",0.9
"AC007279.2",0.1
"MPP4",0
"ALS2",0.9
"FZD7",0.1
"SUMO1",11.8
"NOP58",30.2
"AC064836.4",4.4
"AC064836.2",0
"BMPR2",3.9
"FAM117B",4.6
"ICA1L",2.5
"WDR12",1.8
"CARF",2.1
"NBEAL1",4.1
"CYP20A1",11.4
"ABI2",5.7
"PARD3B",0.1
"NRP2",0.3
"INO80D",24.4
"AC007383.2",0.9
"NDUFS1",3.2
"EEF1B2",48.6
"ZDBF2",9.6
"ADAM23",0.3
"FASTKD2",6.6
"AC008269.1",0.3
"KLF7",12.4
"KLF7-IT1",1.8
"AC009226.1",0.3
"CREB1",9.5
"METTL21A",5.9
"LINC01857",6.3
"CCNYL1",7.2
"FZD5",0.4
"PLEKHM3",1.9
"AC083900.1",0.1
"IDH1",1.5
"PIKFYVE",15.9
"MAP2",0.1
"RPE",2.2
"KANSL1L",3.4
"AC007038.2",1.6
"AC007038.1",0.6
"AC006994.2",1
"LANCL1",1.8
"CPS1",0.2
"IKZF2",0.8
"AC079610.1",0.1
"SPAG16-DT",0.1
"SPAG16",1.1
"BARD1",3.2
"ATIC",2.3
"FN1",0.3
"MREG",0.9
"XRCC5",18.6
"SMARCAL1",0.7
"RPL37A",69.1
"DIRC3",0.1
"ARPC2",39.9
"AC021016.2",0.6
"AAMP",1.8
"PNKD",4.4
"TMBIM1",4.7
"CATIP",0.1
"SLC11A1",0.1
"CTDSP1",3.3
"USP37",3
"CNOT9",6.3
"AC012510.1",0.2
"ZNF142",1.1
"BCS1L",0.8
"RNF25",0.4
"STK36",0.5
"TTLL4",0.7
"WNT10A",2.8
"NHEJ1",0.7
"SLC23A3",0.5
"CNPPD1",11.4
"RETREG2",4.7
"ZFAND2B",4.6
"ABCB6",0.3
"ATG9A",3
"ANKZF1",2.9
"GLB1L",0.2
"STK16",1.9
"TUBA4A",5.8
"DNAJB2",8
"DNPEP",5.9
"SPEG",0.1
"GMPPA",0.8
"CHPF",0.7
"STK11IP",2.3
"SLC4A3",0.1
"LINC02832",0
"AC093843.2",0.1
"EPHA4",1.8
"AC079834.2",0.1
"AC010980.1",0.2
"SGPP2",2.4
"FARSB",2.3
"ACSL3",9.8
"SCG2",0.1
"AP1S3",12.8
"WDFY1",12.5
"MRPL44",4.7
"SERPINE2",3.4
"CUL3",30.2
"DOCK10",12.5
"IRS1",0.6
"RHBDD1",7.7
"COL4A4",4.2
"COL4A3",6.4
"AC097662.1",0.4
"MFF",7.7
"AGFG1",17
"SLC19A3",0.1
"TRIP12",15.9
"FBXO36",0.2
"SLC16A14",0.1
"AC009950.1",3
"SP110",13.7
"SP140",16
"SP140L",15.6
"SP100",37.2
"CAB39",4.1
"ITM2C",13.1
"PSMD1",10
"ARMC9",0.3
"AC017104.1",2.2
"B3GNT7",1.9
"NCL",62.4
"LINC00471",0.2
"PTMA",91.1
"PDE6D",1.1
"COPS7B",3.4
"AC073476.3",0.1
"DIS3L2",5.1
"TIGD1",2
"EIF4E2",5.1
"GIGYF2",7.3
"INPP5D",19.7
"ATG16L1",3.7
"SAG",0.2
"AC013726.1",0.2
"DGKD",11.6
"USP40",1.9
"HJURP",0.1
"TRPM8",0.1
"AC097713.3",0.2
"ARL4C",37.1
"SH3BP4",3.6
"AGAP1",0.1
"ACKR3",0.3
"AC012063.1",0.1
"COPS8",7.3
"COL6A3",0.5
"LRRFIP1",40.7
"AC012076.1",3.7
"RBM44",0.8
"UBE2F",6.6
"SCLY",1.1
"ESPNL",0.4
"KLHL30",0.1
"ERFE",0.1
"ILKAP",8.8
"HES6",2.7
"PER2",5
"AC012485.3",0.2
"TRAF3IP1",1.1
"ASB1",1.4
"TWIST2",1.5
"HDAC4",2.2
"HDAC4-AS1",1.4
"NDUFA10",12.5
"COPS9",8.1
"GPC1",0.2
"ANKMY1",1.4
"DUSP28",2.8
"RNPEPL1",4.7
"CAPN10-DT",0.8
"CAPN10",1.4
"GPR35",0.3
"KIF1A",0.3
"SNED1",5.4
"MTERF4",6.6
"PASK",2.3
"PPP1R7",3
"HDLBP",4.5
"SEPTIN2",25.6
"AC104841.1",0.2
"FARP2",8.1
"STK25",3.6
"THAP4",1.4
"ATG4B",4.6
"DTYMK",1.9
"ING5",7.1
"D2HGDH",2.5
"NEU4",0.4
"PDCD1",1.3
"LINC01237",1.4
"LINC01238",1.4
"LINC01238.1",0.4
"CHL1-AS2",0.4
"CHL1",5.4
"LINC01266",0.7
"CNTN4",0.1
"IL5RA",2
"TRNT1",9.6
"CRBN",7.8
"AC024060.2",0.4
"SUMF1",1.9
"LRRN1",2.8
"AC023483.1",0
"SETMAR",0.8
"ITPR1",24.6
